Date,Country,Confirmed,Recovered,Deaths
2020-07-16,Afghanistan,35070,22824,1113
2020-07-16,Albania,3851,2137,104
2020-07-16,Algeria,21355,15107,1052
2020-07-16,Andorra,877,803,52
2020-07-16,Angola,607,124,28
2020-07-16,Antigua and Barbuda,74,57,3
2020-07-16,Argentina,114783,49120,2112
2020-07-16,Armenia,33559,21931,607
2020-07-16,Australia,11233,8114,116
2020-07-16,Austria,19270,17244,711
2020-07-16,Azerbaijan,26165,17256,334
2020-07-16,Bahamas,124,91,11
2020-07-16,Bahrain,35084,30809,121
2020-07-16,Bangladesh,196323,106963,2496
2020-07-16,Barbados,104,90,7
2020-07-16,Belarus,65623,56915,485
2020-07-16,Belgium,63238,17253,9795
2020-07-16,Belize,40,22,2
2020-07-16,Benin,1463,557,28
2020-07-16,Bhutan,86,78,0
2020-07-16,Bolivia,54156,16979,1984
2020-07-16,Bosnia and Herzegovina,7681,3534,240
2020-07-16,Botswana,522,48,1
2020-07-16,Brazil,2012151,1397531,76688
2020-07-16,Brunei,141,138,3
2020-07-16,Bulgaria,8144,3927,293
2020-07-16,Burkina Faso,1038,882,53
2020-07-16,Burma,339,270,6
2020-07-16,Burundi,303,207,1
2020-07-16,Cabo Verde,1894,902,19
2020-07-16,Cambodia,171,133,0
2020-07-16,Cameroon,16157,13728,373
2020-07-16,Canada,111144,74433,8875
2020-07-16,Central African Republic,4373,1265,53
2020-07-16,Chad,886,799,75
2020-07-16,Chile,323698,295301,7290
2020-07-16,China,85314,80018,4644
2020-07-16,Colombia,165169,71736,6164
2020-07-16,Comoros,328,311,7
2020-07-16,Congo (Brazzaville),2358,589,48
2020-07-16,Congo (Kinshasa),8199,4248,193
2020-07-16,Costa Rica,9546,2673,42
2020-07-16,Cote d'Ivoire,13554,7363,87
2020-07-16,Croatia,4039,2729,120
2020-07-16,Cuba,2440,2285,87
2020-07-16,Cyprus,1031,845,19
2020-07-16,Czechia,13612,8640,355
2020-07-16,Denmark,13325,12396,610
2020-07-16,Diamond Princess,712,651,13
2020-07-16,Djibouti,4993,4796,56
2020-07-16,Dominica,18,18,0
2020-07-16,Dominican Republic,48743,23636,941
2020-07-16,Ecuador,71365,31260,5207
2020-07-16,Egypt,85771,26691,4120
2020-07-16,El Salvador,10957,6257,298
2020-07-16,Equatorial Guinea,3071,842,51
2020-07-16,Eritrea,251,149,0
2020-07-16,Estonia,2016,1904,69
2020-07-16,Eswatini,1552,736,21
2020-07-16,Ethiopia,8475,2430,148
2020-07-16,Fiji,26,18,0
2020-07-16,Finland,7293,6880,328
2020-07-16,France,211102,79161,30141
2020-07-16,Gabon,6121,3664,46
2020-07-16,Gambia,78,34,3
2020-07-16,Georgia,1006,883,15
2020-07-16,Germany,201450,186400,9087
2020-07-16,Ghana,26125,22270,139
2020-07-16,Greece,3939,1374,193
2020-07-16,Grenada,23,23,0
2020-07-16,Guatemala,32939,4807,1404
2020-07-16,Guinea,6359,5012,39
2020-07-16,Guinea-Bissau,1902,773,26
2020-07-16,Guyana,315,156,19
2020-07-16,Haiti,6948,3606,145
2020-07-16,Holy See,12,12,0
2020-07-16,Honduras,30867,3420,835
2020-07-16,Hungary,4279,3156,595
2020-07-16,Iceland,1914,1892,10
2020-07-16,India,1003832,635757,25602
2020-07-16,Indonesia,81668,40345,3873
2020-07-16,Iran,267061,230608,13608
2020-07-16,Iraq,86148,54316,3522
2020-07-16,Ireland,25698,23364,1749
2020-07-16,Israel,46059,20370,384
2020-07-16,Italy,243736,196246,35017
2020-07-16,Jamaica,765,647,10
2020-07-16,Japan,23510,18641,985
2020-07-16,Jordan,1206,1019,10
2020-07-16,Kazakhstan,66895,40256,375
2020-07-16,Kenya,11673,3638,217
2020-07-16,"Korea, South",13672,12460,293
2020-07-16,Kosovo,5237,2462,112
2020-07-16,Kuwait,57668,47545,402
2020-07-16,Kyrgyzstan,12498,3735,167
2020-07-16,Laos,19,19,0
2020-07-16,Latvia,1179,1022,31
2020-07-16,Lebanon,2599,1485,40
2020-07-16,Lesotho,256,48,3
2020-07-16,Liberia,1070,486,68
2020-07-16,Libya,1652,379,46
2020-07-16,Liechtenstein,84,81,1
2020-07-16,Lithuania,1902,1593,79
2020-07-16,Luxembourg,5285,4275,111
2020-07-16,MS Zaandam,9,0,2
2020-07-16,Madagascar,6089,2951,53
2020-07-16,Malawi,2712,1073,51
2020-07-16,Malaysia,8737,8538,122
2020-07-16,Maldives,2899,2339,15
2020-07-16,Mali,2440,1777,121
2020-07-16,Malta,674,661,9
2020-07-16,Mauritania,5659,2993,150
2020-07-16,Mauritius,343,331,10
2020-07-16,Mexico,324041,257681,37574
2020-07-16,Moldova,20264,13640,666
2020-07-16,Monaco,109,98,4
2020-07-16,Mongolia,262,211,0
2020-07-16,Montenegro,1287,330,24
2020-07-16,Morocco,16545,13965,263
2020-07-16,Mozambique,1383,375,9
2020-07-16,Namibia,1032,31,2
2020-07-16,Nepal,17344,11249,39
2020-07-16,Netherlands,51572,194,6156
2020-07-16,New Zealand,1549,1506,22
2020-07-16,Nicaragua,3147,2282,99
2020-07-16,Niger,1102,993,69
2020-07-16,Nigeria,34854,14292,769
2020-07-16,North Macedonia,8623,4565,401
2020-07-16,Norway,9015,8138,254
2020-07-16,Oman,62574,40090,290
2020-07-16,Pakistan,257914,178737,5426
2020-07-16,Panama,50373,25842,1000
2020-07-16,Papua New Guinea,11,8,0
2020-07-16,Paraguay,3342,1379,27
2020-07-16,Peru,341586,230994,12615
2020-07-16,Philippines,61266,21440,1643
2020-07-16,Poland,39054,28928,1605
2020-07-16,Portugal,47765,32476,1679
2020-07-16,Qatar,105477,102168,152
2020-07-16,Romania,35003,22189,1971
2020-07-16,Russia,751612,530801,11920
2020-07-16,Rwanda,1473,770,4
2020-07-16,Saint Kitts and Nevis,17,15,0
2020-07-16,Saint Lucia,23,19,0
2020-07-16,Saint Vincent and the Grenadines,35,29,0
2020-07-16,San Marino,699,656,42
2020-07-16,Sao Tome and Principe,740,325,14
2020-07-16,Saudi Arabia,243238,187622,2370
2020-07-16,Senegal,8481,5735,156
2020-07-16,Serbia,19717,14417,442
2020-07-16,Seychelles,108,27,0
2020-07-16,Sierra Leone,1678,1213,64
2020-07-16,Singapore,47126,43256,27
2020-07-16,Slovakia,1951,1514,28
2020-07-16,Slovenia,1897,1522,111
2020-07-16,Somalia,3106,1444,93
2020-07-16,South Africa,324221,165591,4669
2020-07-16,South Sudan,2171,1175,41
2020-07-16,Spain,258855,150376,28416
2020-07-16,Sri Lanka,2687,2007,11
2020-07-16,Sudan,10527,5601,668
2020-07-16,Suriname,904,581,18
2020-07-16,Sweden,76877,0,5593
2020-07-16,Switzerland,33290,29900,1969
2020-07-16,Syria,477,140,22
2020-07-16,Taiwan*,451,440,7
2020-07-16,Tajikistan,6741,5431,56
2020-07-16,Tanzania,509,183,21
2020-07-16,Thailand,3236,3095,58
2020-07-16,Timor-Leste,24,24,0
2020-07-16,Togo,749,543,15
2020-07-16,Trinidad and Tobago,133,124,8
2020-07-16,Tunisia,1327,1093,50
2020-07-16,Turkey,216873,198820,5440
2020-07-16,US,3576157,1090645,138358
2020-07-16,Uganda,1051,1014,0
2020-07-16,Ukraine,57640,29822,1462
2020-07-16,United Arab Emirates,56129,47412,335
2020-07-16,United Kingdom,294116,1403,45204
2020-07-16,Uruguay,1026,916,32
2020-07-16,Uzbekistan,15066,8783,75
2020-07-16,Venezuela,10854,3255,104
2020-07-16,Vietnam,381,356,0
2020-07-16,West Bank and Gaza,7412,1313,51
2020-07-16,Western Sahara,10,8,1
2020-07-16,Yemen,1552,695,438
2020-07-16,Zambia,1895,1412,42
2020-07-16,Zimbabwe,1362,425,23