date,state,cases,deaths
2020-01-31,Alabama,0,0
2020-02-29,Alabama,5,0
2020-03-31,Alabama,999,14
2020-04-30,Alabama,7068,272
2020-05-31,Alabama,17952,630
2020-06-30,Alabama,38045,950
2020-07-19,Alabama,67011,1287
2020-01-31,Alaska,0,0
2020-02-29,Alaska,1,0
2020-03-31,Alaska,133,2
2020-04-30,Alaska,353,7
2020-05-31,Alaska,469,8
2020-06-30,Alaska,1132,12
2020-07-19,Alaska,2275,16
2020-01-31,Arizona,1,0
2020-02-29,Arizona,1,0
2020-03-31,Arizona,1298,24
2020-04-30,Arizona,7648,320
2020-05-31,Arizona,19936,906
2020-06-30,Arizona,79399,1645
2020-07-19,Arizona,143644,2768
2020-01-31,Arkansas,0,0
2020-02-29,Arkansas,1,0
2020-03-31,Arkansas,564,8
2020-04-30,Arkansas,3281,61
2020-05-31,Arkansas,7253,133
2020-06-30,Arkansas,20777,270
2020-07-19,Arkansas,33228,357
2020-01-31,California,3,0
2020-02-29,California,28,0
2020-03-31,California,8583,184
2020-04-30,California,50470,2057
2020-05-31,California,113114,4242
2020-06-30,California,232153,6083
2020-07-19,California,391460,7710
2020-01-31,Colorado,0,0
2020-02-29,Colorado,2,0
2020-03-31,Colorado,2990,69
2020-04-30,Colorado,15207,775
2020-05-31,Colorado,26364,1445
2020-06-30,Colorado,32698,1690
2020-07-19,Colorado,40182,1753
2020-01-31,Connecticut,0,0
2020-02-29,Connecticut,1,0
2020-03-31,Connecticut,3128,69
2020-04-30,Connecticut,27700,2257
2020-05-31,Connecticut,42201,3944
2020-06-30,Connecticut,46514,4322
2020-07-19,Connecticut,47893,4396
2020-01-31,Delaware,0,0
2020-02-29,Delaware,1,0
2020-03-31,Delaware,319,10
2020-04-30,Delaware,4734,152
2020-05-31,Delaware,9498,366
2020-06-30,Delaware,11474,509
2020-07-19,Delaware,13519,523
2020-01-31,District of Columbia,0,0
2020-02-29,District of Columbia,1,0
2020-03-31,District of Columbia,495,9
2020-04-30,District of Columbia,4323,224
2020-05-31,District of Columbia,8801,466
2020-06-30,District of Columbia,10327,551
2020-07-19,District of Columbia,11261,578
2020-01-31,Florida,0,0
2020-02-29,Florida,2,0
2020-03-31,Florida,6742,85
2020-04-30,Florida,33683,1267
2020-05-31,Florida,56155,2450
2020-06-30,Florida,152426,3504
2020-07-19,Florida,350039,4981
2020-01-31,Georgia,0,0
2020-02-29,Georgia,2,0
2020-03-31,Georgia,4116,126
2020-04-30,Georgia,25431,1121
2020-05-31,Georgia,45051,2019
2020-06-30,Georgia,77280,2758
2020-07-19,Georgia,130794,3110
2020-01-31,Guam,0,0
2020-02-29,Guam,3,0
2020-03-31,Guam,139,2
2020-04-30,Guam,1115,6
2020-05-31,Guam,1144,6
2020-06-30,Guam,1228,6
2020-07-19,Guam,1284,6
2020-01-31,Hawaii,0,0
2020-02-29,Hawaii,1,0
2020-03-31,Hawaii,224,1
2020-04-30,Hawaii,609,16
2020-05-31,Hawaii,642,17
2020-06-30,Hawaii,901,18
2020-07-19,Hawaii,1359,23
2020-01-31,Idaho,0,0
2020-02-29,Idaho,0,1
2020-03-31,Idaho,526,9
2020-04-30,Idaho,2016,63
2020-05-31,Idaho,2855,82
2020-06-30,Idaho,6124,92
2020-07-19,Idaho,14960,120
2020-01-31,Illinois,2,0
2020-02-29,Illinois,3,0
2020-03-31,Illinois,5992,107
2020-04-30,Illinois,52918,2361
2020-05-31,Illinois,120588,5426
2020-06-30,Illinois,144661,7136
2020-07-19,Illinois,162963,7491
2020-01-31,Indiana,0,0
2020-02-29,Indiana,1,0
2020-03-31,Indiana,2177,61
2020-04-30,Indiana,18099,1114
2020-05-31,Indiana,35429,2134
2020-06-30,Indiana,46740,2640
2020-07-19,Indiana,57965,2822
2020-01-31,Iowa,0,0
2020-02-29,Iowa,3,0
2020-03-31,Iowa,498,7
2020-04-30,Iowa,7145,162
2020-05-31,Iowa,19621,537
2020-06-30,Iowa,29152,717
2020-07-19,Iowa,38813,793
2020-01-31,Kansas,0,0
2020-02-29,Kansas,1,0
2020-03-31,Kansas,435,10
2020-04-30,Kansas,4305,133
2020-05-31,Kansas,9878,211
2020-06-30,Kansas,14629,276
2020-07-19,Kansas,22459,313
2020-01-31,Kentucky,0,0
2020-02-29,Kentucky,1,0
2020-03-31,Kentucky,590,18
2020-04-30,Kentucky,4708,240
2020-05-31,Kentucky,9937,441
2020-06-30,Kentucky,15916,588
2020-07-19,Kentucky,23600,691
2020-01-31,Louisiana,0,0
2020-02-29,Louisiana,1,0
2020-03-31,Louisiana,5237,240
2020-04-30,Louisiana,28044,1905
2020-05-31,Louisiana,40021,2791
2020-06-30,Louisiana,58203,3221
2020-07-19,Louisiana,91816,3543
2020-01-31,Maine,0,0
2020-02-29,Maine,1,0
2020-03-31,Maine,303,5
2020-04-30,Maine,1095,53
2020-05-31,Maine,2325,89
2020-06-30,Maine,3253,105
2020-07-19,Maine,3687,117
2020-01-31,Maryland,0,0
2020-02-29,Maryland,3,0
2020-03-31,Maryland,1662,18
2020-04-30,Maryland,21825,1139
2020-05-31,Maryland,53456,2532
2020-06-30,Maryland,68152,3190
2020-07-19,Maryland,78698,3377
2020-01-31,Massachusetts,1,0
2020-02-29,Massachusetts,1,0
2020-03-31,Massachusetts,6620,89
2020-04-30,Massachusetts,62205,3562
2020-05-31,Massachusetts,96965,6846
2020-06-30,Massachusetts,108882,8054
2020-07-19,Massachusetts,113534,8431
2020-01-31,Michigan,0,0
2020-02-29,Michigan,2,0
2020-03-31,Michigan,7629,264
2020-04-30,Michigan,41348,3788
2020-05-31,Michigan,57355,5491
2020-06-30,Michigan,70850,6197
2020-07-19,Michigan,81935,6369
2020-01-31,Minnesota,0,0
2020-02-29,Minnesota,1,0
2020-03-31,Minnesota,629,12
2020-04-30,Minnesota,5136,343
2020-05-31,Minnesota,24860,1050
2020-06-30,Minnesota,36338,1476
2020-07-19,Minnesota,46244,1581
2020-01-31,Mississippi,0,0
2020-02-29,Mississippi,1,0
2020-03-31,Mississippi,937,20
2020-04-30,Mississippi,6815,261
2020-05-31,Mississippi,15501,734
2020-06-30,Mississippi,27248,1073
2020-07-19,Mississippi,42638,1355
2020-01-31,Missouri,0,0
2020-02-29,Missouri,1,0
2020-03-31,Missouri,1350,15
2020-04-30,Missouri,7563,341
2020-05-31,Missouri,13297,784
2020-06-30,Missouri,22275,1037
2020-07-19,Missouri,35154,1158
2020-01-31,Montana,0,0
2020-02-29,Montana,4,0
2020-03-31,Montana,198,5
2020-04-30,Montana,452,16
2020-05-31,Montana,515,17
2020-06-30,Montana,967,22
2020-07-19,Montana,2533,37
2020-01-31,Nebraska,5,0
2020-02-29,Nebraska,13,0
2020-03-31,Nebraska,199,4
2020-04-30,Nebraska,4332,70
2020-05-31,Nebraska,14101,178
2020-06-30,Nebraska,19194,279
2020-07-19,Nebraska,22637,308
2020-01-31,Nevada,0,0
2020-02-29,Nevada,2,0
2020-03-31,Nevada,1113,26
2020-04-30,Nevada,5053,243
2020-05-31,Nevada,8628,419
2020-06-30,Nevada,18582,507
2020-07-19,Nevada,35826,648
2020-01-31,New Hampshire,0,0
2020-02-29,New Hampshire,1,0
2020-03-31,New Hampshire,367,3
2020-04-30,New Hampshire,2146,72
2020-05-31,New Hampshire,4651,245
2020-06-30,New Hampshire,5782,371
2020-07-19,New Hampshire,6203,398
2020-01-31,New Jersey,0,0
2020-02-29,New Jersey,1,0
2020-03-31,New Jersey,18696,267
2020-04-30,New Jersey,118652,7228
2020-05-31,New Jersey,160445,11698
2020-06-30,New Jersey,173521,15035
2020-07-19,New Jersey,178757,15706
2020-01-31,New Mexico,0,0
2020-02-29,New Mexico,4,0
2020-03-31,New Mexico,315,5
2020-04-30,New Mexico,3411,123
2020-05-31,New Mexico,7689,356
2020-06-30,New Mexico,12147,497
2020-07-19,New Mexico,16971,571
2020-01-31,New York,0,0
2020-02-29,New York,1,0
2020-03-31,New York,76211,1929
2020-04-30,New York,309696,23616
2020-05-31,New York,375575,29699
2020-06-30,New York,398142,31776
2020-07-19,New York,405931,32187
2020-01-31,North Carolina,0,0
2020-02-29,North Carolina,1,0
2020-03-31,North Carolina,1527,10
2020-04-30,North Carolina,10507,385
2020-05-31,North Carolina,28686,911
2020-06-30,North Carolina,65062,1362
2020-07-19,North Carolina,99956,1661
2020-01-31,North Dakota,0,0
2020-02-29,North Dakota,1,0
2020-03-31,North Dakota,126,3
2020-04-30,North Dakota,1067,19
2020-05-31,North Dakota,2580,64
2020-06-30,North Dakota,3585,88
2020-07-19,North Dakota,5023,96
2020-01-31,Northern Mariana Islands,0,0
2020-02-29,Northern Mariana Islands,1,0
2020-03-31,Northern Mariana Islands,2,0
2020-04-30,Northern Mariana Islands,14,2
2020-05-31,Northern Mariana Islands,22,2
2020-06-30,Northern Mariana Islands,30,2
2020-07-19,Northern Mariana Islands,37,2
2020-01-31,Ohio,0,0
2020-02-29,Ohio,3,0
2020-03-31,Ohio,2199,55
2020-04-30,Ohio,18027,975
2020-05-31,Ohio,35513,2155
2020-06-30,Ohio,51789,2863
2020-07-19,Ohio,74932,3174
2020-01-31,Oklahoma,0,0
2020-02-29,Oklahoma,1,0
2020-03-31,Oklahoma,566,23
2020-04-30,Oklahoma,3618,222
2020-05-31,Oklahoma,6506,334
2020-06-30,Oklahoma,13757,387
2020-07-19,Oklahoma,25265,451
2020-01-31,Oregon,0,0
2020-02-29,Oregon,1,0
2020-03-31,Oregon,690,18
2020-04-30,Oregon,2510,103
2020-05-31,Oregon,4243,153
2020-06-30,Oregon,8663,209
2020-07-19,Oregon,14586,262
2020-01-31,Pennsylvania,0,0
2020-02-29,Pennsylvania,1,0
2020-03-31,Pennsylvania,4997,72
2020-04-30,Pennsylvania,48224,2580
2020-05-31,Pennsylvania,76218,5555
2020-06-30,Pennsylvania,91226,6695
2020-07-19,Pennsylvania,105384,7074
2020-01-31,Puerto Rico,0,0
2020-02-29,Puerto Rico,3,0
2020-03-31,Puerto Rico,239,8
2020-04-30,Puerto Rico,1537,92
2020-05-31,Puerto Rico,3776,136
2020-06-30,Puerto Rico,7465,153
2020-07-19,Puerto Rico,12063,178
2020-01-31,Rhode Island,0,0
2020-02-29,Rhode Island,2,0
2020-03-31,Rhode Island,488,8
2020-04-30,Rhode Island,8621,266
2020-05-31,Rhode Island,14928,718
2020-06-30,Rhode Island,16813,950
2020-07-19,Rhode Island,17793,990
2020-01-31,South Carolina,0,0
2020-02-29,South Carolina,2,0
2020-03-31,South Carolina,1083,22
2020-04-30,South Carolina,6095,244
2020-05-31,South Carolina,11861,494
2020-06-30,South Carolina,36399,739
2020-07-19,South Carolina,69986,1155
2020-01-31,South Dakota,0,0
2020-02-29,South Dakota,5,0
2020-03-31,South Dakota,107,1
2020-04-30,South Dakota,2450,17
2020-05-31,South Dakota,4993,62
2020-06-30,South Dakota,6764,91
2020-07-19,South Dakota,7906,118
2020-01-31,Tennessee,0,0
2020-02-29,Tennessee,1,0
2020-03-31,Tennessee,2049,13
2020-04-30,Tennessee,10506,200
2020-05-31,Tennessee,22832,360
2020-06-30,Tennessee,42815,597
2020-07-19,Tennessee,76180,834
2020-01-31,Texas,1,0
2020-02-29,Texas,11,0
2020-03-31,Texas,3588,57
2020-04-30,Texas,29072,828
2020-05-31,Texas,64974,1683
2020-06-30,Texas,166703,2482
2020-07-19,Texas,338036,4033
2020-01-31,Utah,0,0
2020-02-29,Utah,1,0
2020-03-31,Utah,887,5
2020-04-30,Utah,4672,46
2020-05-31,Utah,9829,113
2020-06-30,Utah,22364,172
2020-07-19,Utah,34117,243
2020-01-31,Vermont,0,0
2020-02-29,Vermont,1,0
2020-03-31,Vermont,293,13
2020-04-30,Vermont,866,48
2020-05-31,Vermont,981,55
2020-06-30,Vermont,1208,56
2020-07-19,Vermont,1350,56
2020-01-31,Virgin Islands,0,0
2020-02-29,Virgin Islands,1,0
2020-03-31,Virgin Islands,30,0
2020-04-30,Virgin Islands,66,4
2020-05-31,Virgin Islands,69,6
2020-06-30,Virgin Islands,81,6
2020-07-19,Virgin Islands,297,6
2020-01-31,Virginia,0,0
2020-02-29,Virginia,1,0
2020-03-31,Virginia,1249,27
2020-04-30,Virginia,15846,552
2020-05-31,Virginia,44607,1375
2020-06-30,Virginia,62787,1763
2020-07-19,Virginia,77430,2027
2020-01-31,Washington,1,0
2020-02-29,Washington,10,1
2020-03-31,Washington,5293,226
2020-04-30,Washington,14814,822
2020-05-31,Washington,22814,1126
2020-06-30,Washington,34541,1333
2020-07-19,Washington,48601,1512
2020-01-31,West Virginia,0,0
2020-02-29,West Virginia,1,0
2020-03-31,West Virginia,162,1
2020-04-30,West Virginia,1126,44
2020-05-31,West Virginia,2010,75
2020-06-30,West Virginia,2904,93
2020-07-19,West Virginia,5042,100
2020-01-31,Wisconsin,0,0
2020-02-29,Wisconsin,1,0
2020-03-31,Wisconsin,1351,25
2020-04-30,Wisconsin,6854,316
2020-05-31,Wisconsin,18418,594
2020-06-30,Wisconsin,31723,793
2020-07-19,Wisconsin,45953,853
2020-01-31,Wyoming,0,0
2020-02-29,Wyoming,1,0
2020-03-31,Wyoming,121,0
2020-04-30,Wyoming,559,7
2020-05-31,Wyoming,903,16
2020-06-30,Wyoming,1487,20
2020-07-19,Wyoming,2126,24