Date,Month,Type,Value
2020-01-31,January,Confirmed,7
2020-01-31,January,Recovered,0
2020-01-31,January,Deaths,0
2020-02-29,February,Confirmed,24
2020-02-29,February,Recovered,7
2020-02-29,February,Deaths,1
2020-03-31,March,Confirmed,188724
2020-03-31,March,Recovered,7024
2020-03-31,March,Deaths,5605
2020-04-30,April,Confirmed,1072667
2020-04-30,April,Recovered,153947
2020-04-30,April,Deaths,64256
2020-05-31,May,Confirmed,1799124
2020-05-31,May,Recovered,444758
2020-05-31,May,Deaths,105364
2020-06-30,June,Confirmed,2636414
2020-06-30,June,Recovered,720631
2020-06-30,June,Deaths,127432
2020-07-20,July,Confirmed,3834677
2020-07-20,July,Recovered,1160087
2020-07-20,July,Deaths,140913